mode	metabolite	slope	sd_intercept	p_uncorrected	p_fdr	MW	m/z	RT	name
pos_plasma	681	-20.015625	0.27758418	0	0	106.9521	255.93793	14.578	unannotated
neg_plasma	3707	17	0.278344659	2.97E-228	3.97E-227	350.1732	349.16592	6.64	unannotated
neg_feces	4866	-12.41666667	0.280280443	2.06E-125	3.19E-124	388.12008	387.11279	0.845	unannotated
pos_plasma	3499	7.967936111	0.280396437	0	0	195.08929	196.09666	1.206	Metirosine
neg_feces	2308	23.33333333	0.281522895	0	0	276.12011	275.11292	4.114	unannotated
neg_plasma	5125	-48.83333333	0.28485154	0	0	506.27186	505.26459	9.328	unannotated
pos_feces	4580	22.57591623	0.285023703	1.71E-65	2.65E-64	213.1852	214.19191	1.313	unannotated
neg_plasma	1924	-7.938329598	0.287687268	0	0	239.93791	238.93065	1.098	unannotated
pos_feces	7335	2.5	0.289732868	6.18E-58	9.42E-57	351.23829	352.24536	10.716	unannotated
pos_plasma	4811	12.25	0.289825507	0	0	287.06404	288.07132	1.905	unannotated
pos_plasma	6488	-55.5	0.291741337	0	0	593.36785	594.37512	10.883	unannotated
neg_plasma	2760	-29.375	0.29366625	0	0	290.90362	289.89639	3.789	unannotated
pos_plasma	6988	31.87525151	0.293790861	0	0	796.51848	797.52576	9.975	unannotated
neg_plasma	986	-7.727346681	0.296109996	0	0	184.10858	183.10133	7.4	unannotated
neg_feces	3983	-12.07970669	0.298153678	0	0	348.1671	347.15982	7.461	unannotated
pos_plasma	3520	-10.59138213	0.298454029	0	0	196.12098	197.1283	3.705	unannotated
neg_plasma	1727	-23.81315095	0.299245787	0	0	226.11936	225.11206	6.568	unannotated
pos_plasma	639	20.92978463	0.300379986	0	0	104.02075	105.02802	4.657	unannotated
pos_feces	367	32.13671875	0.300944959	0	0	92.06289	93.07017	10.193	unannotated
pos_plasma	7043	-47.98281771	0.302729841	0	0	817.4418	818.44775	12.005	unannotated
pos_feces	7845	-5.666666667	0.303552369	6.97E-72	1.09E-70	382.25081	383.25812	5.929	unannotated
pos_feces	5900	31.97561482	0.304847192	0	0	270.16934	271.17664	3.653	unannotated
pos_feces	6730	-28.77777778	0.305045183	0	0	313.33401	314.34119	8.413	unannotated
pos_plasma	6957	-76.125	0.305200044	0	0	788.60545	789.61304	10.334	unannotated
neg_plasma	4966	-16.02551266	0.308735343	0	0	486.20637	485.19879	7.185	unannotated
pos_plasma	7145	-31.76216666	0.308812648	0	0	973.7249	974.73114	3.037	unannotated
neg_plasma	2395	31.85504655	0.309066557	0	0	267.0686	266.06134	1.404	unannotated
neg_plasma	2219	6.714285714	0.30916798	0	0	256.96642	255.95906	1.424	unannotated
pos_feces	9356	-32.10250011	0.311198088	0	0	523.36276	524.37085	11.278	unannotated
pos_feces	9263	-31.81449424	0.31224353	0	0	509.28066	510.28836	5.926	unannotated
neg_feces	3446	20.83854167	0.314078364	0	0	328.22374	327.21683	6.581	unannotated
neg_plasma	686	-16.28676537	0.314946067	0	0	164.04599	163.03871	3.372	unannotated
neg_feces	1943	16.5	0.315100564	2.07E-140	3.30E-139	266.03862	265.0311	8.246	unannotated
pos_plasma	3060	-16.13490303	0.318558131	0	0	178.05158	179.05905	2.509	unannotated
pos_feces	3747	-16.20051081	0.319452779	0	0	187.09578	188.10306	3.433	unannotated
pos_feces	2103	-2.71875	0.319621038	2.96E-54	4.45E-53	146.03671	147.04407	7.267	unannotated
neg_feces	7622	-15.96970901	0.320411589	0	0	542.25313	541.24591	6.87	unannotated
neg_feces	4537	-24.21891862	0.322190373	0	0	373.18345	372.17624	3.313	unannotated
pos_plasma	2982	32.00148942	0.323193409	0	0	174.11144	175.11858	0.816	Arginine
pos_plasma	70	-3.681818182	0.323776796	1.39E-154	1.95E-153	78.04752	79.05478	2.348	unannotated
pos_feces	5200	-64.5	0.324262023	0	0	237.13605	238.14363	7.086	unannotated
pos_plasma	5005	39.72704161	0.325717755	0	0	302.16861	303.17569	1.415	unannotated
pos_feces	4769	10.67708333	0.325778335	0	0	219.08936	220.09639	5.979	unannotated
pos_plasma	5054	-6.828125	0.333430503	0	0	309.03415	310.04178	6.608	unannotated
pos_feces	7052	6.848484848	0.334555175	2.10E-162	3.62E-161	335.11547	336.12274	5.947	Berberine
neg_feces	6887	15.9299555	0.336308259	0	0	494.29906	493.29196	14.489	unannotated
pos_feces	1094	15.95454545	0.337827467	0	0	120.06883	121.07611	3.651	unannotated
pos_feces	903	2.611111111	0.339842254	4.80E-45	7.13E-44	114.04326	115.05054	3.184	unannotated
neg_plasma	2427	-15.96116266	0.341461819	0	0	269.98883	268.98148	1.495	unannotated
pos_feces	1959	-10.16666667	0.341681567	0	0	141.99419	143.00136	1.084	unannotated
pos_plasma	3009	58.75	0.341951669	0	0	176.04729	177.05457	3.596	hymecromone
pos_feces	560	9.16	0.342837622	3.04E-222	5.57E-221	102.03228	103.0396	3.815	unannotated
pos_plasma	2553	2.5	0.346931262	7.69E-138	1.07E-136	160.04098	161.0484	2.505	unannotated
pos_feces	1099	80.8125	0.348630462	0	0	120.08143	121.08854	5.025	unannotated
pos_feces	4948	-64.16666667	0.3498139	0	0	226.17189	227.17935	7.027	unannotated
neg_plasma	1779	-193	0.353842237	0	0	229.16672	228.15944	6.211	unannotated
pos_feces	8234	-6.85	0.356465786	5.32E-186	9.52E-185	410.35004	411.35721	9.895	unannotated
pos_feces	8787	-31.82795109	0.359399769	0	0	458.2375	459.24478	3.866	unannotated
pos_plasma	4874	16.32680645	0.362631263	0	0	294.01579	295.02307	2.855	unannotated
neg_plasma	1807	7.733332414	0.366579464	0	0	230.15066	229.14346	6.269	unannotated
neg_feces	5181	-23.98681588	0.366780648	0	0	400.1904	399.18292	5.896	unannotated
neg_feces	3226	8.037302404	0.370638975	0	0	317.15791	316.15063	2.969	unannotated
pos_feces	4231	-10.5	0.372475347	0	0	203.12664	204.13409	1.27	Gly-Lys
pos_plasma	3317	8.060365565	0.37352209	0	0	186.08897	187.09641	9.183	unannotated
pos_feces	9416	-6	0.375926619	1.14E-106	1.87E-105	537.24297	538.25024	7.257	unannotated
neg_feces	1950	-15.77106496	0.376151657	0	0	266.03943	265.03278	10.47	unannotated
neg_feces	4980	-46	0.376453628	0	0	391.9073	390.89957	0.806	unannotated
pos_plasma	5935	-7.75	0.380403218	0	0	454.16765	455.17471	3.125	unannotated
neg_feces	761	16.5	0.381049339	0	0	189.04125	188.03401	3.469	unannotated
neg_plasma	1469	16.75	0.389435609	0	0	216.03302	215.02574	11.527	unannotated
pos_feces	3366	79.53666798	0.390985219	0	0	177.0463	178.05373	1.109	unannotated
neg_plasma	3046	-450	0.391208378	0	0	307.01892	306.01178	1.304	unannotated
neg_feces	219	10.65229726	0.394032322	0	0	126.00657	124.99937	0.913	unannotated
neg_feces	766	8.09375	0.398108816	0	0	189.99224	188.98497	3.436	unannotated
pos_feces	7139	23.96875	0.399208708	0	0	339.34984	340.35715	8.928	unannotated
neg_plasma	2913	-16.125	0.399371936	0	0	299.06707	298.05963	5.806	unannotated
pos_feces	4924	-7.841275208	0.400376874	0	0	226.13148	227.13921	3.677	pentobarbital
neg_feces	1096	-48.07669657	0.400785575	0	0	218.11408	217.10677	4.083	unannotated
neg_feces	1433	15.96014366	0.402926662	0	0	240.06216	239.05489	4.649	unannotated
neg_feces	4860	-4.124006917	0.403632781	0	0	388.08159	387.07431	5.185	unannotated
pos_feces	9369	-23.25	0.405601586	0	0	527.29189	528.29907	5.13	unannotated
pos_feces	6469	79.75	0.406244133	0	0	300.1472	301.15448	11.54	unannotated
neg_plasma	1031	7.5	0.407230064	0	0	188.02032	187.01306	3.51	unannotated
neg_feces	6879	6.160714286	0.40771666	3.67E-73	5.58E-72	494.24954	493.24207	5.713	unannotated
pos_feces	3698	32.57501406	0.411998237	0	0	186.10035	187.10788	1.283	unannotated
pos_feces	9383	19.55555556	0.412419415	0	0	530.35845	531.36572	10.879	unannotated
neg_feces	4155	2.0390625	0.413161192	0	0	356.1588	355.15152	8.478	unannotated
pos_feces	6225	-7.709284983	0.413418406	0	0	288.14659	289.15381	5.505	unannotated
pos_plasma	4907	39.87185259	0.413612068	0	0	296.07469	297.08206	14.168	unannotated
pos_plasma	653	24.23575659	0.414677745	0	0	104.92749	105.9351	1.117	unannotated
neg_feces	5384	31.47375959	0.416505255	0	0	410.04621	409.03857	14.471	unannotated
pos_feces	583	8.1875	0.416641742	0	0	103.04675	224.12733	1.272	unannotated
neg_feces	9284	-16.03382625	0.417020896	0	0	1600.53062	799.25836	3.572	unannotated
pos_feces	2713	40.01893939	0.417689909	0	0	160.05218	161.05945	8.857	unannotated
neg_plasma	4699	-8.375	0.42247316	0	0	457.81172	456.80444	1.022	unannotated
pos_feces	3132	-11.20938238	0.422588943	0	0	169.09593	170.10321	1.268	unannotated
neg_feces	2469	32.26368702	0.424946182	0	0	284.12497	283.11777	5.642	2-Phenylethyl-glucopyranoside
neg_feces	1761	-6.76	0.428402132	1.32E-198	2.16E-197	256.23924	255.23203	13.431	unannotated
neg_plasma	1072	-8.073634932	0.428922871	0	0	190.04633	189.03906	0.934	unannotated
neg_plasma	3683	32.03256222	0.428963008	0	0	347.95299	346.94571	0.847	unannotated
pos_feces	5644	7.875	0.430346085	0	0	257.10513	258.11258	5.034	unannotated
neg_feces	6311	-15.8488719	0.431403131	0	0	466.20094	465.19366	7.059	unannotated
pos_feces	3760	-15.79884967	0.433856455	0	0	188.07943	189.08669	1.268	unannotated
neg_feces	620	64.17288079	0.435153149	0	0	176.06701	175.05981	2.636	unannotated
neg_feces	5628	23.74753437	0.436759971	0	0	424.29283	423.28555	7.389	unannotated
pos_feces	454	15.77088099	0.439414792	0	0	96.98434	97.99183	14.575	unannotated
neg_feces	4512	-87.125	0.440112207	0	0	372.19547	371.18787	6.833	unannotated
pos_feces	2480	6.296296296	0.441969026	9.81E-201	1.78E-199	154.0592	155.06638	1.085	unannotated
pos_plasma	3666	-6.166666667	0.442685984	1.51E-163	2.14E-162	204.11486	205.12201	9.263	unannotated
neg_feces	7246	40.20206333	0.444121589	0	0	517.28036	516.27325	5.812	terpendole K
pos_plasma	5470	16.10259879	0.445424799	0	0	360.96354	361.97064	3.374	unannotated
pos_feces	845	18.9375	0.450270046	0	0	111.97135	112.9788	0.734	unannotated
pos_feces	687	107.75	0.450801343	0	0	107.07384	108.08127	5.092	unannotated
neg_feces	7346	7.964318794	0.450818467	2.47E-293	4.12E-292	524.31477	523.3075	8.865	unannotated
pos_feces	3212	64.27192973	0.451530656	0	0	172.12126	173.12854	4.629	unannotated
neg_feces	7518	-7.9375	0.451782343	0	0	534.3177	533.31042	6.639	unannotated
neg_feces	7418	-15.88034052	0.452762924	0	0	528.30971	527.30243	7.647	Milbemectin A3
neg_plasma	2258	-23.75	0.454548453	0	0	258.82551	257.81821	2.751	unannotated
pos_feces	4766	32.2440981	0.459088449	0	0	219.05972	220.067	0.849	unannotated
neg_feces	2137	15.59653722	0.461608202	0	0	268.15001	267.14273	11.42	unannotated
pos_feces	7795	-48.61977133	0.461906303	0	0	378.28806	379.29535	7.328	unannotated
pos_feces	6045	16.37600121	0.465330875	0	0	278.16298	279.17026	4.978	unannotated
pos_feces	1601	6.7	0.466010546	4.38E-237	8.09E-236	133.05246	134.05969	11.131	unannotated
neg_feces	7654	-10.6	0.466489524	0	0	544.9774	543.96997	14.624	unannotated
neg_feces	8532	-16.08757335	0.467014921	0	0	658.3787	657.37128	3.621	unannotated
neg_plasma	2082	-31.9375	0.46726448	0	0	248.03473	247.02734	4.523	unannotated
pos_plasma	5487	16.32805811	0.472485032	0	0	362.28145	363.28873	10.35	unannotated
neg_feces	9292	31.58337332	0.474162444	0	0	1615.67241	806.82727	0.845	unannotated
neg_plasma	103	-8.359375	0.474726204	0	0	97.97502	96.9678	0.945	unannotated
pos_feces	7168	71.625	0.476602496	0	0	341.25655	342.26382	8.265	2-Dodecenoylcarnitine
pos_feces	678	-16.12617199	0.477982341	0	0	107.03763	108.04491	4.431	unannotated
pos_plasma	1064	7.75	0.479441299	0	0	121.0164	122.02367	1.619	unannotated
neg_plasma	5537	-7.827435245	0.480324169	1.51E-265	2.08E-264	567.82795	566.82104	1.229	unannotated
pos_feces	4058	8	0.48498405	0	0	198.14069	199.14816	10.095	unannotated
neg_feces	2081	-32.39312958	0.485498782	0	0	266.27223	265.26486	10.564	unannotated
neg_feces	1115	-48.1190261	0.485952808	0	0	219.10958	218.10243	3.55	unannotated
pos_feces	8669	31.89511899	0.486804792	0	0	446.24193	447.24921	7.973	unannotated
pos_feces	1450	16.4691795	0.488808512	0	0	130.06314	131.0704	4.491	unannotated
pos_plasma	1878	-24.01993529	0.491802702	0	0	142.06276	143.07004	7.078	unannotated
neg_plasma	782	63.92436735	0.495659272	0	0	168.052	167.04471	2.929	unannotated
pos_feces	7975	-7.920204542	0.500874172	0	0	391.21008	392.21768	3.877	unannotated
pos_feces	5759	-7.895555044	0.504919686	0	0	262.19292	263.19974	8.717	unannotated
pos_feces	8128	-95.32374391	0.506416182	0	0	401.32775	402.33502	9.806	unannotated
pos_feces	5792	32.27183556	0.508004556	0	0	264.11467	265.12207	7.307	Cryptotanshinone
pos_feces	5872	7.761758774	0.508814616	2.47E-308	4.90E-307	269.03275	270.03964	9.459	unannotated
pos_plasma	5133	-7.910628368	0.514794233	7.84E-176	1.14E-174	316.94108	317.94876	3.002	unannotated
neg_feces	2376	11.82013814	0.5147986	0	0	280.13239	279.12491	6.898	unannotated
pos_feces	7175	-30.4	0.515898266	0	0	342.12109	343.1283	3.865	unannotated
neg_feces	3648	7.927039941	0.515993595	0	0	336.24186	335.23477	12.928	unannotated
neg_plasma	6227	-8.147052828	0.52356131	3.72E-257	5.07E-256	817.47786	816.47058	7.051	unannotated
pos_feces	3979	37.25	0.525526935	0	0	195.0896	196.09688	4.926	unannotated
pos_feces	2170	2.5	0.52607097	7.57E-17	1.10E-15	147.06832	148.07559	4.672	3-(2-Furylmethyl)-1H-pyrrole
neg_plasma	6084	-8.010230732	0.535411926	0	0	690.32656	344.15601	6.661	unannotated
neg_feces	1348	-16.29266642	0.536296604	0	0	232.98039	231.97311	4.124	unannotated
pos_feces	762	48	0.54445221	0	0	109.08936	110.09653	4.2	unannotated
neg_plasma	1955	-12.5	0.545248832	0	0	241.98508	240.97783	3.727	unannotated
pos_feces	718	-40.17737888	0.562206708	0	0	108.09409	109.10149	8.718	unannotated
pos_feces	4116	-23.77692815	0.567703996	0	0	200.07937	201.08676	1.264	unannotated
pos_plasma	3956	-10.86363636	0.573142597	1.21E-213	1.78E-212	216.18727	217.19455	10.734	unannotated
pos_feces	696	-79.50866482	0.583615595	0	0	108.05766	109.06527	4.475	unannotated
pos_feces	1368	-318	0.586637915	0	0	128.03661	129.04395	1.115	unannotated
pos_feces	1419	38.61428571	0.587666598	0	0	129.05809	130.06537	3.981	Gramine
pos_plasma	6933	-8.0625	0.590299765	0	0	783.57408	784.58234	7.697	unannotated
neg_plasma	844	-24.04748781	0.594590814	0	0	173.99816	346.98904	3.727	4-phenolsulfonic acid
pos_feces	8960	39.93192592	0.594930501	0	0	473.82522	474.83325	0.735	unannotated
pos_feces	276	-16.2716585	0.597067426	3.05E-294	6.01E-293	87.03713	88.04432	1.074	unannotated
pos_feces	3146	10.19318182	0.597756916	5.00E-118	8.29E-117	170.06865	171.07593	0.903	3-Hydroxyanthranilic acid
pos_feces	771	8.875	0.599257444	7.19E-172	1.27E-170	109.09587	110.10315	2.3	unannotated
pos_feces	1555	-24.00585938	0.599625082	0	0	132.09381	133.10126	6.215	unannotated
pos_plasma	5519	-74	0.602716803	0	0	368.34383	369.35114	10.351	unannotated
neg_feces	1560	16.25639551	0.603303017	0	0	244.17765	243.17032	3.953	unannotated
neg_feces	8327	3.923750561	0.604738156	0	0	620.25228	619.24316	3.532	unannotated
neg_plasma	3148	-32.06712007	0.615201088	0	0	312.67221	311.66486	6.042	unannotated
pos_plasma	5601	12.03125	0.616530172	0	0	386.2061	387.21338	7.201	unannotated
pos_feces	607	7.41749725	0.617551447	1.29E-149	2.19E-148	104.06286	105.07015	4.623	Styrene
neg_feces	2773	-15.93985939	0.619951433	4.87E-304	8.20E-303	298.14052	297.13351	5.374	unannotated
neg_feces	7609	-6.407877604	0.620122336	3.62E-141	5.82E-140	540.36439	539.35712	7.514	unannotated
pos_plasma	5266	-15.93640336	0.620840752	0	0	336.24456	337.25171	6.985	unannotated
pos_feces	2261	2	0.62170082	7.90E-12	1.14E-10	148.12468	149.13196	6.728	unannotated
pos_feces	3138	15.84400183	0.624860932	0	0	169.1468	170.15405	3.368	unannotated
pos_feces	9328	-24.42669132	0.638253418	0	0	518.42965	519.43738	0.846	unannotated
neg_feces	2449	10.79359992	0.640950072	3.56E-138	5.60E-137	282.25492	281.24771	14.677	unannotated
pos_feces	8741	15.875	0.641879018	0	0	454.30586	455.31314	10.789	unannotated
pos_feces	5418	8	0.645961113	4.26E-272	8.32E-271	246.10369	247.11125	4.155	unannotated
pos_feces	5947	28	0.649491411	0	0	272.21368	273.22107	10.641	Androst-3-en-17-one
pos_feces	9385	212	0.650091336	0	0	531.21057	532.21777	4.05	unannotated
pos_feces	288	16.46666667	0.654064767	2.30E-237	4.28E-236	88.00169	89.00894	1.067	unannotated
pos_feces	6112	-79.91758007	0.665306679	0	0	282.16186	283.16913	6.072	unannotated
neg_feces	5627	16.28835339	0.676929392	0	0	424.29271	423.28543	7.952	unannotated
neg_plasma	1629	8.246907011	0.682366349	0	0	219.82328	218.81609	1.118	unannotated
pos_feces	6840	-24	0.685367364	0	0	320.17282	321.17981	4.919	unannotated
pos_plasma	6231	-86.5	0.699135037	0	0	521.03264	522.03992	10.447	unannotated
pos_plasma	3190	-15.79178116	0.699464814	0	0	182.05771	183.06494	3.141	unannotated
neg_feces	2910	16.44906905	0.715307196	0	0	302.17205	301.16479	4.183	unannotated
pos_plasma	6858	13.875	0.726297677	0	0	759.5702	760.57764	14.473	unannotated
neg_feces	4483	-16.3989181	0.727941697	0	0	370.34307	369.33572	13.423	unannotated
neg_feces	2568	7.96875	0.730476547	0	0	288.12051	287.11319	7.622	unannotated
neg_feces	1460	23.9375	0.733097548	0	0	241.0574	240.05014	2.747	unannotated
neg_plasma	2757	-23.94134276	0.734189238	0	0	290.17215	289.16498	6.399	unannotated
pos_feces	5866	-15.75	0.735604684	0	0	268.16728	269.17474	4.084	unannotated
pos_feces	552	-31.52880487	0.743048893	0	0	101.96261	143.9964	0.872	unannotated
pos_plasma	1016	15.85623166	0.743355848	0	0	119.01639	120.02361	1.051	unannotated
pos_feces	9902	-23.99685523	0.74390557	0	0	675.47116	676.47742	8.187	unannotated
pos_feces	928	8.5	0.753970461	7.73E-74	1.22E-72	115.06346	116.07055	3.254	Proline
pos_feces	8940	32.05468381	0.755873974	0	0	472.31705	473.32397	10.208	unannotated
pos_feces	5343	-23.57142857	0.76156741	1.24E-186	2.24E-185	243.07835	244.08556	1.077	unannotated
neg_feces	2955	24.70525534	0.762186425	0	0	304.20564	303.19836	13.113	unannotated
pos_feces	2031	15.65924788	0.76605389	0	0	143.97955	144.98688	0.957	unannotated
neg_plasma	5080	2.07150189	0.768596022	3.21E-75	4.10E-74	500.38144	499.37421	8.767	unannotated
neg_feces	2779	15.55742418	0.779428351	0	0	298.15602	297.14874	7.986	unannotated
neg_feces	3552	-4.03125	0.781436563	5.51E-32	8.13E-31	332.1361	331.12872	5.571	unannotated
neg_feces	283	-0.471280256	0.78257698	3.45E-12	4.96E-11	138.03005	137.02271	5.551	Salicylic acid
pos_feces	4202	15.75	0.78666306	0	0	202.13494	203.14236	6.214	unannotated
neg_feces	2178	12.375	0.811964188	1.06E-92	1.64E-91	270.12049	269.1131	1.07	unannotated
neg_plasma	4590	24.24013052	0.813773228	0	0	446.15986	445.15259	4.274	unannotated
neg_plasma	5434	-12.31798997	0.853731349	0	0	552.31038	551.30292	7.193	unannotated
neg_plasma	3721	-4.110719093	0.856749643	0	0	351.15707	350.14981	4.701	unannotated
neg_feces	5459	-8.177021897	0.861402461	4.89E-139	7.75E-138	414.20602	413.19901	5.745	unannotated
pos_feces	704	16.11484825	0.86157671	0	0	108.0691	109.07651	1.158	unannotated
pos_feces	5650	-15.92675714	0.872067298	0	0	257.15245	258.16003	4.896	unannotated
neg_feces	1823	-8.035596598	0.872797018	0	0	259.99813	258.99072	3.816	unannotated
pos_feces	7089	20.82739303	0.883698141	0	0	336.26525	337.2724	9.366	2-Linoleoyl glycerol
pos_feces	9552	-15.75	0.889025267	0	0	576.26354	577.27081	2.295	unannotated
pos_feces	6922	-31.90279929	0.894054995	0	0	325.37028	326.37781	10.331	unannotated
pos_feces	9436	23.87973895	0.900110479	0	0	541.28069	542.28741	8.039	unannotated
pos_feces	9335	-31.51412471	0.900154753	0	0	519.33367	520.34015	8.586	unannotated
pos_feces	2662	5.125	0.905412211	1.64E-91	2.64E-90	158.08423	159.09113	3.376	1,5-DAN
pos_feces	10337	40.03385557	0.912988484	0	0	1801.69255	901.85352	4.263	unannotated
pos_plasma	7016	24.0625	0.945282251	0	0	807.57457	808.58185	9.781	unannotated
neg_plasma	241	23.84887352	0.945974882	0	0	117.94094	116.93347	13.543	unannotated
pos_feces	3051	-40.13915098	0.982005608	0	0	167.09441	168.10152	5.751	unannotated
pos_feces	6082	-3.333333333	0.984793798	2.36E-117	3.88E-116	280.23989	281.24738	11.073	unannotated
pos_plasma	5713	6.09375	0.993445795	3.25E-69	4.48E-68	413.29219	414.29929	7.057	unannotated
pos_feces	1625	-7.832947618	1.001403119	7.03E-29	1.04E-27	134.03664	135.04387	9.726	unannotated
pos_feces	8783	-64.2	1.028644843	0	0	458.05199	230.03378	1.116	unannotated
pos_feces	8456	-8.5	1.042358315	6.47E-76	1.03E-74	427.35632	428.36356	10.515	unannotated
pos_feces	9077	-8.193994641	1.052810498	1.52E-91	2.46E-90	485.85888	486.86584	0.848	unannotated
neg_plasma	3424	2.046894637	1.06151253	4.80E-118	6.30E-117	330.17622	329.16895	8.866	unannotated
neg_feces	4574	-3.75	1.08331761	9.66E-31	1.42E-29	374.25732	373.24985	12.138	unannotated
neg_plasma	1131	-48.25649775	1.095397211	0	0	193.98718	192.97986	1.547	unannotated
pos_feces	7079	-12.35714286	1.132157235	7.47E-88	1.19E-86	336.24443	337.25223	7.983	unannotated
pos_feces	513	-0.669365072	1.165934816	0	0	100.01836	101.0256	1.126	unannotated
neg_feces	6646	-10.796875	1.183062924	7.63E-91	1.17E-89	481.21927	480.21237	6.688	unannotated
pos_feces	4647	5.6	1.205422932	1.64E-72	2.57E-71	214.17185	215.1787	8.213	unannotated
pos_feces	5756	-15.58788372	1.206098856	5.71E-159	9.75E-158	262.19287	263.20041	9.375	unannotated
pos_feces	7389	-8	1.266385869	2.96E-14	4.28E-13	354.25375	355.26016	7.981	unannotated
pos_feces	7697	-3.561660129	1.322924905	4.65E-50	6.96E-49	372.26489	373.27148	5.973	unannotated
neg_plasma	4651	-11.8711466	1.377227437	0	0	452.16576	225.07565	6.482	unannotated
neg_plasma	5784	4.140787279	1.37827556	2.13E-65	2.69E-64	610.31825	609.31097	7.002	unannotated
pos_feces	6772	12.5	1.52896066	3.84E-173	6.80E-172	315.18284	316.18994	9.726	unannotated
neg_plasma	3642	-4.15127862	1.779137078	5.10E-80	6.57E-79	345.11367	344.10645	5.15	unannotated
pos_plasma	2464	-23.4694744	1.841927491	0	0	155.06928	156.0766	3.789	bacimethrin
pos_feces	3601	14.79208376	1.872174813	3.49E-65	5.36E-64	184.05329	185.06041	1.097	2-hydroxydibenzofuran
neg_feces	1228	-8.03125	1.959853642	4.18E-19	6.04E-18	228.04087	227.03343	5.962	Mevalonic acid-5P
pos_feces	10175	-31.7512272	1.999589405	2.78E-238	5.21E-237	816.57071	817.57953	7.981	unannotated
pos_feces	4512	-7	2.430040074	5.31E-05	0.000750256	213.08256	214.09007	1.468	unannotated
